,crypto,model_name,layer_number,hidden_units,dense_units,activation,batch_size,RMSE_tun
26,Cardano (ADA),LSTM,2,100,64,relu,16,0.738785646897338
7,Cardano (ADA),LSTM,1,50,128,relu,32,0.752532129841222
35,Cardano (ADA),LSTM,3,50,64,relu,32,0.7536270604268127
31,Cardano (ADA),LSTM,2,100,128,relu,32,0.7598331849377384
2,Cardano (ADA),LSTM,1,50,64,relu,16,0.7625424258868019
10,Cardano (ADA),LSTM,1,100,64,relu,16,0.7678833509973993
46,Cardano (ADA),LSTM,3,100,128,relu,16,0.772398423174741
20,Cardano (ADA),LSTM,2,50,128,tanh,16,0.7732163061035096
14,Cardano (ADA),LSTM,1,100,128,relu,16,0.773307436416442
5,Cardano (ADA),LSTM,1,50,128,tanh,32,0.7738223740190648
23,Cardano (ADA),LSTM,2,50,128,relu,32,0.775785151527619
8,Cardano (ADA),LSTM,1,100,64,tanh,16,0.776389377671103
16,Cardano (ADA),LSTM,2,50,64,tanh,16,0.7787807867325723
36,Cardano (ADA),LSTM,3,50,128,tanh,16,0.7810567797095085
24,Cardano (ADA),LSTM,2,100,64,tanh,16,0.783622662011091
37,Cardano (ADA),LSTM,3,50,128,tanh,32,0.7847062584930025
40,Cardano (ADA),LSTM,3,100,64,tanh,16,0.7859787384286575
21,Cardano (ADA),LSTM,2,50,128,tanh,32,0.7861913207605126
6,Cardano (ADA),LSTM,1,50,128,relu,16,0.7872711524057266
22,Cardano (ADA),LSTM,2,50,128,relu,16,0.7877742907716018
12,Cardano (ADA),LSTM,1,100,128,tanh,16,0.787813407379673
17,Cardano (ADA),LSTM,2,50,64,tanh,32,0.7909662866703876
3,Cardano (ADA),LSTM,1,50,64,relu,32,0.7913124761707515
19,Cardano (ADA),LSTM,2,50,64,relu,32,0.7946112528520693
34,Cardano (ADA),LSTM,3,50,64,relu,16,0.7954472347770103
38,Cardano (ADA),LSTM,3,50,128,relu,16,0.7954709901104714
11,Cardano (ADA),LSTM,1,100,64,relu,32,0.7974384047583865
18,Cardano (ADA),LSTM,2,50,64,relu,16,0.7982306921985977
13,Cardano (ADA),LSTM,1,100,128,tanh,32,0.7990305834275157
28,Cardano (ADA),LSTM,2,100,128,tanh,16,0.8003951286179563
29,Cardano (ADA),LSTM,2,100,128,tanh,32,0.8008833832426248
9,Cardano (ADA),LSTM,1,100,64,tanh,32,0.8009935203594989
0,Cardano (ADA),LSTM,1,50,64,tanh,16,0.8011695554735229
39,Cardano (ADA),LSTM,3,50,128,relu,32,0.8023412403771165
45,Cardano (ADA),LSTM,3,100,128,tanh,32,0.804460863098186
25,Cardano (ADA),LSTM,2,100,64,tanh,32,0.8062111875628317
15,Cardano (ADA),LSTM,1,100,128,relu,32,0.8080577544474501
32,Cardano (ADA),LSTM,3,50,64,tanh,16,0.8120787611722011
1,Cardano (ADA),LSTM,1,50,64,tanh,32,0.8154194090236684
41,Cardano (ADA),LSTM,3,100,64,tanh,32,0.8183480270256759
44,Cardano (ADA),LSTM,3,100,128,tanh,16,0.8192363941774831
27,Cardano (ADA),LSTM,2,100,64,relu,32,0.8210223587908286
4,Cardano (ADA),LSTM,1,50,128,tanh,16,0.8220491780964604
47,Cardano (ADA),LSTM,3,100,128,relu,32,0.8235994097382249
30,Cardano (ADA),LSTM,2,100,128,relu,16,0.8309343983247349
42,Cardano (ADA),LSTM,3,100,64,relu,16,0.8333575597315837
33,Cardano (ADA),LSTM,3,50,64,tanh,32,0.834756118986462
43,Cardano (ADA),LSTM,3,100,64,relu,32,0.8534578498963802
